id,activity_name,created_at,user_id
103,dashboard_page,2020-04-25 11:38:54.719210,1
104,employees_page,2020-04-26 07:13:58.965797,1
105,job_titles_page,2020-04-26 07:39:56.073776,1
106,departments_page,2020-04-26 07:40:06.696368,1
107,departments_page,2020-04-26 07:40:57.729004,1
108,employees_page,2020-04-26 07:41:33.595435,1
109,edit_employee_page,2020-04-26 07:42:06.904803,1
110,employees_page,2020-04-26 07:42:23.426719,1
111,departments_page,2020-04-26 08:15:17.911105,1
112,departments_page,2020-04-26 08:24:54.566306,1
113,departments_page,2020-04-26 08:26:05.920760,1
114,departments_page,2020-04-26 08:27:02.816102,1
115,departments_page,2020-04-26 08:27:25.503242,1
116,departments_page,2020-04-26 08:30:30.188928,1
117,departments_page,2020-04-26 08:31:20.314117,1
118,departments_page,2020-04-26 08:32:19.415883,1
119,departments_page,2020-04-26 08:32:41.343258,1
120,departments_page,2020-04-26 08:33:52.793887,1
121,departments_page,2020-04-26 08:34:44.762207,1
122,departments_page,2020-04-26 08:48:17.552625,1
123,departments_page,2020-04-26 08:50:16.914924,1
124,departments_page,2020-04-26 08:51:17.474177,1
125,departments_page,2020-04-26 08:51:20.862868,1
126,dashboard_page,2020-04-27 12:53:57.682354,1
127,employees_page,2020-04-27 12:54:12.388100,1
128,holidays_page,2020-04-27 12:54:18.377115,1
129,dashboard_page,2020-04-27 12:58:29.675319,1
130,dashboard_page,2020-04-27 13:08:07.378497,1
131,dashboard_page,2020-04-28 07:49:50.360276,1
132,employees_page,2020-04-28 09:27:38.217308,1
133,dashboard_page,2020-04-28 09:29:34.105308,1
134,hod_required_page,2020-04-28 09:53:50.199511,1
135,overtime_applications_page,2020-04-28 09:54:18.099270,1
136,approved_overtime_applications_page,2020-04-28 09:54:27.995658,1
137,approve_overtime_page,2020-04-28 09:54:46.931807,1
138,apply_for_overtime_page,2020-04-28 09:54:51.421305,1
139,manage_users_page,2020-04-28 09:55:12.823479,1
140,edit_user_page,2020-04-28 09:55:19.381681,1
141,edit_user_page,2020-04-28 09:55:26.255185,1
142,manage_users_page,2020-04-28 09:55:26.792800,1
143,employees_page,2020-04-28 12:03:39.570999,1
144,dashboard_page,2020-04-28 12:06:08.909520,1
145,dashboard_page,2020-04-28 12:07:49.297776,1
146,dashboard_page,2020-04-28 12:31:12.191171,1
147,logout_view,2020-04-28 12:33:10.029600,1
148,dashboard_page,2020-04-28 12:33:19.686735,1
149,employees_page,2020-05-04 08:32:38.454196,1
150,employees_page,2020-05-04 08:32:49.222838,1
151,dashboard_page,2020-05-06 12:25:27.114565,1
152,logout_view,2020-05-08 15:15:08.316491,1
153,dashboard_page,2020-05-08 15:15:21.765842,1
154,dashboard_page,2020-05-08 15:16:20.087722,1
155,employees_page,2020-05-15 08:44:04.590234,1
156,holidays_page,2020-05-15 08:44:23.504758,1
157,dashboard_page,2020-05-15 08:51:27.457276,1
158,employees_page,2020-05-21 08:05:40.948353,1
159,add_more_details_page,2020-05-21 08:12:06.369923,1
160,employee_profile_page,2020-05-21 08:12:57.952738,1
161,add_more_details_page,2020-05-21 08:13:09.148508,1
162,add_dependant,2020-05-21 08:21:28.644411,1
163,holidays_page,2020-05-21 08:22:55.836000,1
164,edit_holiday_page,2020-05-21 08:22:59.611595,1
165,holidays_page,2020-05-21 09:35:38.811206,1
166,holidays_page,2020-05-21 09:36:11.755565,1
167,holidays_page,2020-05-21 09:36:11.977982,1
168,job_titles_page,2020-05-21 12:03:37.927906,1
169,departments_page,2020-05-21 12:03:48.352048,1
170,departments_page,2020-05-21 15:07:12.736480,1
171,departments_page,2020-05-21 15:08:01.096041,1
172,edit_department_page,2020-05-21 15:08:06.930061,1
173,edit_department_page,2020-05-21 15:08:36.689462,1
174,departments_page,2020-05-21 15:09:16.495706,1
175,departments_page,2020-05-21 15:09:22.168332,1
176,add_new_department,2020-05-21 15:10:27.167885,1
177,departments_page,2020-05-21 15:10:27.518448,1
178,departments_page,2020-05-21 15:10:35.365921,1
179,departments_page,2020-05-21 15:18:49.970913,1
180,add_new_department,2020-05-21 15:19:10.143899,1
181,departments_page,2020-05-21 15:19:10.529094,1
182,departments_page,2020-05-21 15:23:12.556763,1
183,add_new_department,2020-05-21 15:23:51.539832,1
184,departments_page,2020-05-21 15:29:05.604271,1
185,add_new_department,2020-05-21 15:29:16.788297,1
186,departments_page,2020-05-21 15:30:02.845297,1
187,add_new_department,2020-05-21 15:30:16.332334,1
188,departments_page,2020-05-21 15:32:06.990350,1
189,add_new_department,2020-05-21 15:32:15.764558,1
190,departments_page,2020-05-21 15:33:02.087060,1
191,add_new_department,2020-05-21 15:33:12.476784,1
192,departments_page,2020-05-21 15:33:12.805089,1
193,departments_page,2020-05-21 15:34:52.262355,1
194,add_new_department,2020-05-21 15:35:08.983350,1
195,departments_page,2020-05-21 15:35:09.263734,1
196,edit_department_page,2020-05-21 15:35:16.276577,1
197,departments_page,2020-05-21 15:35:25.780166,1
198,teams_page,2020-05-22 07:42:27.909960,1
199,delete_department,2020-05-22 07:43:04.953826,1
200,departments_page,2020-05-22 07:43:05.357737,1
201,departments_page,2020-05-22 07:45:51.134285,1
202,edit_department_page,2020-05-22 07:46:34.854129,1
203,departments_page,2020-05-22 07:46:44.638337,1
